出席番号,数学,国語,英語,社会,理科
1,13,32,86,85,42
2,96,38,14,65,71
3,46,6,64,63,46
4,99,31,50,94,14
5,17,41,10,53,15
6,92,63,72,47,1
7,41,12,78,35,38
8,52,11,61,22,24
9,68,39,49,93,17
10,12,44,20,87,30
11,76,51,94,5,87
12,57,77,41,82,43
13,86,76,88,80,16
14,75,7,52,8,8
15,57,90,1,55,40
16,36,69,22,92,74
17,87,8,83,43,7
18,18,22,89,100,2
19,80,41,90,97,30
20,4,72,58,58,72
21,88,78,40,49,89
22,96,59,51,25,98
23,81,57,99,53,73
24,50,53,88,60,30
25,51,23,58,16,42
26,13,60,79,67,82
27,21,93,76,65,94
28,3,47,61,60,70
29,30,11,47,59,53
30,71,26,29,65,17
31,40,15,100,58,51
32,37,4,100,89,71
33,67,50,86,24,35
34,6,96,76,80,38
35,65,63,94,0,79
36,100,82,18,20,33
37,84,26,5,83,15
38,56,52,14,86,30
39,74,4,0,73,78
40,86,98,54,35,79
