出席番号,数学,国語,英語,社会,理科
1,88,17,62,45,66
2,59,92,54,6,60
3,60,65,80,2,35
4,95,53,22,75,64
5,53,31,23,6,53
6,65,25,36,88,48
7,29,100,44,21,12
8,24,89,74,23,64
9,79,23,72,51,82
10,96,48,100,28,57
11,9,16,67,2,37
12,82,46,41,23,39
13,18,70,68,18,4
14,75,22,12,63,76
15,84,6,27,39,18
16,68,59,70,15,87
17,11,14,72,20,30
18,66,70,42,53,43
19,90,64,0,27,5
20,54,5,74,52,31
21,70,86,33,96,38
22,99,22,61,83,67
23,50,43,19,79,32
24,79,4,45,65,98
25,97,85,84,90,95
26,13,28,76,28,49
27,91,96,13,35,64
28,42,91,100,51,72
29,84,91,65,0,25
30,50,45,71,15,28
31,88,53,21,1,1
32,24,72,40,41,9
33,7,69,42,54,58
34,10,29,77,47,90
35,87,11,10,17,35
36,12,31,77,42,42
37,38,38,99,11,60
38,58,67,1,19,19
39,86,84,27,78,71
40,60,63,80,61,82
